,concept,label,standard_concept,2025-09-30,2024-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
0,us-gaap_AssetsAbstract,ASSETS,,,,1,True,False,False,,,,,,,,,us-gaap_StatementOfFinancialPositionAbstract
1,us-gaap_AssetsCurrentAbstract,Current assets,,,,2,True,False,False,,,,,,,,,us-gaap_AssetsAbstract
2,us-gaap_CashAndCashEquivalentsAtCarryingValue,Cash and cash equivalents,CashAndMarketableSecurities,6750548000.0,6095424000.0,4,False,False,False,,,,,debit,1.0,1.0,us-gaap_AssetsCurrent,us-gaap_AssetsCurrentAbstract
3,us-gaap_AccountsReceivableNetCurrent,Accounts receivable,TradeReceivables,2606747000.0,1747316000.0,4,False,False,False,,,,,debit,1.0,1.0,us-gaap_AssetsCurrent,us-gaap_AssetsCurrentAbstract
4,us-gaap_PrepaidExpenseCurrent,Prepaid expenses,PrepaidExpenses,1525485000.0,1247184000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_AssetsCurrent,us-gaap_AssetsCurrentAbstract
5,us-gaap_RestrictedCashCurrent,Restricted cash,RestrictedCashCurrent,12539000.0,10685000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_AssetsCurrent,us-gaap_AssetsCurrentAbstract
6,us-gaap_OtherAssetsCurrent,Other current assets,OtherNonOperatingCurrentAssets,412502000.0,189528000.0,4,False,False,False,,,,,debit,1.0,1.0,us-gaap_AssetsCurrent,us-gaap_AssetsCurrentAbstract
7,us-gaap_AssetsCurrent,Total current assets,CurrentAssetsTotal,11307821000.0,9290137000.0,4,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsCurrentAbstract
8,us-gaap_PropertyPlantAndEquipmentNet,"Property, plant and equipment, net",PlantPropertyEquipmentNet,3121609000.0,2441872000.0,2,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
9,us-gaap_OperatingLeaseRightOfUseAsset,Operating lease assets,OperatingLeaseRightOfUseAsset,1757740000.0,1618033000.0,2,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
10,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract,Intangible assets,,,,2,True,False,False,,,,,,,,,us-gaap_AssetsAbstract
11,us-gaap_FiniteLivedIntangibleAssetsNet,"Definite-lived intangible assets, net",IntangibleAssets,1064105000.0,985812000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
12,us-gaap_FiniteLivedIntangibleAssetsNet,Revenue-generating contracts,,457145000.0,480296000.0,4,False,True,True,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis,us-gaap_ContractualRightsMember,Revenue-generating contracts,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis: Revenue-generating contracts,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
13,us-gaap_FiniteLivedIntangibleAssetsNet,Client/vendor relationships,,389998000.0,281191000.0,4,False,True,True,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis,lyv_ClientVendorRelationshipsMember,Client/vendor relationships,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis: Client/vendor relationships,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
14,us-gaap_FiniteLivedIntangibleAssetsNet,Venue Management,,143303000.0,154235000.0,4,False,True,True,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis,lyv_VenueManagementMember,Venue Management,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis: Venue Management,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
15,us-gaap_FiniteLivedIntangibleAssetsNet,Trademarks and naming rights,,53360000.0,57520000.0,4,False,True,True,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis,us-gaap_TrademarksAndTradeNamesMember,Trademarks and naming rights,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis: Trademarks and naming rights,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
16,us-gaap_FiniteLivedIntangibleAssetsNet,Technology and Other intangible assets,,20299000.0,12570000.0,4,False,True,True,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis,us-gaap_OtherIntangibleAssetsMember,Technology and Other intangible assets,us-gaap:FiniteLivedIntangibleAssetsByMajorClassAxis: Technology and Other intangible assets,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
17,us-gaap_IndefiniteLivedIntangibleAssetsExcludingGoodwill,"Indefinite-lived intangible assets, net",IntangibleAssets,369012000.0,380558000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_IntangibleAssetsNetExcludingGoodwillAbstract
18,us-gaap_Goodwill,Goodwill,Goodwill,2841716000.0,2620911000.0,2,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
19,us-gaap_Goodwill,Concerts,,1149651000.0,1026739000.0,3,False,True,True,us-gaap:StatementBusinessSegmentsAxis,lyv_ConcertsMember,Concerts,us-gaap:StatementBusinessSegmentsAxis: Concerts,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
20,us-gaap_Goodwill,Ticketing,,1000971000.0,964221000.0,3,False,True,True,us-gaap:StatementBusinessSegmentsAxis,lyv_TicketingMember,Ticketing,us-gaap:StatementBusinessSegmentsAxis: Ticketing,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
21,us-gaap_Goodwill,Sponsorship and Advertising,,691094000.0,629951000.0,3,False,True,True,us-gaap:StatementBusinessSegmentsAxis,lyv_SponsorshipAndAdvertisingMember,Sponsorship and Advertising,us-gaap:StatementBusinessSegmentsAxis: Sponsorship and Advertising,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
22,us-gaap_PrepaidExpenseNoncurrent,Long-term advances,OtherNonOperatingNonCurrentAssets,600365000.0,520482000.0,2,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
23,us-gaap_OtherAssetsNoncurrent,Other long-term assets,OtherNonOperatingNonCurrentAssets,1825451000.0,1780966000.0,2,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
24,us-gaap_Assets,Total assets,Assets,22887819000.0,19638771000.0,2,False,False,False,,,,,debit,1.0,1.0,,us-gaap_AssetsAbstract
25,us-gaap_Assets,"Variable Interest Entity, Primary Beneficiary",,802500000.0,839900000.0,3,False,True,True,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary",debit,1.0,1.0,,us-gaap_AssetsAbstract
26,us-gaap_LiabilitiesAndStockholdersEquityAbstract,LIABILITIES AND EQUITY,,,,1,True,False,False,,,,,,,,,us-gaap_StatementOfFinancialPositionAbstract
27,us-gaap_LiabilitiesCurrentAbstract,Current liabilities,,,,2,True,False,False,,,,,,,,,us-gaap_LiabilitiesAndStockholdersEquityAbstract
28,lyv_AccountsPayableClientAccounts,"Accounts payable, client accounts",,2418554000.0,1859678000.0,4,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesCurrent,us-gaap_LiabilitiesCurrentAbstract
29,us-gaap_AccountsPayableCurrent,Accounts payable,TradePayables,355427000.0,242978000.0,4,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesCurrent,us-gaap_LiabilitiesCurrentAbstract
30,us-gaap_OtherAccruedLiabilitiesCurrent,Accrued expenses,OtherNonOperatingCurrentLiabilities,3803822000.0,3057334000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_LiabilitiesCurrent,us-gaap_LiabilitiesCurrentAbstract
31,us-gaap_ContractWithCustomerLiabilityCurrent,Deferred revenue,OtherOperatingCurrentLiabilities,4064154000.0,3721092000.0,4,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesCurrent,us-gaap_LiabilitiesCurrentAbstract
32,us-gaap_LongTermDebtAndCapitalLeaseObligationsCurrent,"Current portion of long-term debt, net",CurrentPortionOfLongTermDebt,1250813000.0,260901000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_LiabilitiesCurrent,us-gaap_LiabilitiesCurrentAbstract
33,us-gaap_OperatingLeaseLiabilityCurrent,Current portion of operating lease liabilities,OperatingLeaseCurrentDebtEquivalent,160458000.0,153406000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_LiabilitiesCurrent,us-gaap_LiabilitiesCurrentAbstract
34,us-gaap_OtherLiabilitiesCurrent,Other current liabilities,OtherNonOperatingCurrentLiabilities,222345000.0,62890000.0,4,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesCurrent,us-gaap_LiabilitiesCurrentAbstract
35,us-gaap_LiabilitiesCurrent,Total current liabilities,CurrentLiabilitiesTotal,12275573000.0,9358279000.0,4,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesCurrentAbstract
36,us-gaap_LongTermDebtAndCapitalLeaseObligations,"Long-term debt, net",LongTermDebt,6106712000.0,6177168000.0,2,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
37,us-gaap_OperatingLeaseLiabilityNoncurrent,Long-term operating lease liabilities,OperatingLeaseNonCurrentDebtEquivalent,1870718000.0,1680266000.0,2,False,False,False,,,,,,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
38,us-gaap_OtherLiabilitiesNoncurrent,Other long-term liabilities,OtherNonOperatingNonCurrentLiabilities,653289000.0,477763000.0,2,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
39,us-gaap_CommitmentsAndContingencies,Commitments and contingent liabilities (see Note 6),,,,2,False,False,False,,,,,,,1.0,,us-gaap_LiabilitiesAndStockholdersEquityAbstract
40,us-gaap_RedeemableNoncontrollingInterestEquityCarryingAmount,Redeemable noncontrolling interests,TemporaryAndMezzanineFinancing,852702000.0,1126302000.0,2,False,False,False,,,,,,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
41,us-gaap_RedeemableNoncontrollingInterestEquityCarryingAmount,Redeemable Noncontrolling Interests,,852702000.0,1126302000.0,3,False,True,False,lyv:StatementEquityAndTemporaryEquityComponentsAxis,lyv_RedeemableNoncontrollingInterestsMember,Redeemable Noncontrolling Interests,lyv:StatementEquityAndTemporaryEquityComponentsAxis: Redeemable Noncontrolling Interests,,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
42,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract,Stockholders' equity,,,,2,True,False,False,,,,,,,,,us-gaap_LiabilitiesAndStockholdersEquityAbstract
43,us-gaap_CommonStockValue,Common stock,CommonEquity,2326000.0,2313000.0,3,False,False,False,,,,,credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
44,us-gaap_AdditionalPaidInCapital,Additional paid-in capital,AdditionalPaidInCapital,1524648000.0,2059746000.0,3,False,False,False,,,,,credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
45,us-gaap_RetainedEarningsAccumulatedDeficit,Accumulated deficit,RetainedEarnings,-839878000.0,-1546819000.0,3,False,False,False,,,,,credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
46,us-gaap_RetainedEarningsAccumulatedDeficit,"Cumulative Effect, Period of Adoption, Adjustment - Accounting Standards Update 2023-08",,8900000.0,,4,False,True,True,srt:CumulativeEffectPeriodOfAdoptionAxis,srt_CumulativeEffectPeriodOfAdoptionAdjustmentMember,"Cumulative Effect, Period of Adoption, Adjustment","srt:CumulativeEffectPeriodOfAdoptionAxis: Cumulative Effect, Period of Adoption, Adjustment, us-gaap:AdjustmentsForNewAccountingPronouncementsAxis: Accounting Standards Update 2023-08",credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
47,us-gaap_TreasuryStockValue,Cost of shares held in treasury,TreasuryShares,-6865000.0,-6865000.0,3,False,False,False,,,,,debit,-1.0,-1.0,us-gaap_StockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
48,us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,Accumulated other comprehensive loss,AccumulatedOtherComprehensiveIncome,-158891000.0,-335112000.0,3,False,False,False,,,,,credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
49,us-gaap_StockholdersEquity,Total Live Nation stockholders' equity,AllEquityBalance,521340000.0,173263000.0,3,False,False,False,,,,,credit,1.0,1.0,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
50,us-gaap_MinorityInterest,Noncontrolling interests,MinorityInterestBalance,607485000.0,645730000.0,3,False,False,False,,,,,,1.0,1.0,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
51,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Total equity,AllEquityBalanceIncludingMinorityInterest,1128825000.0,818993000.0,4,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
52,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Common Stock,,2326000.0,2313000.0,4,False,True,False,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_CommonStockMember,Common Stock,lyv:StatementEquityAndTemporaryEquityComponentsAxis: Common Stock,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
53,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Additional Paid-in Capital,,1524648000.0,2059746000.0,4,False,True,False,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_AdditionalPaidInCapitalMember,Additional Paid-in Capital,lyv:StatementEquityAndTemporaryEquityComponentsAxis: Additional Paid-in Capital,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
54,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Accumulated Deficit,,-839878000.0,-1546819000.0,4,False,True,False,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_RetainedEarningsMember,Accumulated Deficit,lyv:StatementEquityAndTemporaryEquityComponentsAxis: Accumulated Deficit,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
55,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,"Treasury Stock, Common",,-6865000.0,-6865000.0,4,False,True,False,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_TreasuryStockCommonMember,"Treasury Stock, Common","lyv:StatementEquityAndTemporaryEquityComponentsAxis: Treasury Stock, Common",credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
56,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Accumulated Other Comprehensive Income (Loss),,-158891000.0,-335112000.0,4,False,True,False,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_AccumulatedOtherComprehensiveIncomeMember,Accumulated Other Comprehensive Income (Loss),lyv:StatementEquityAndTemporaryEquityComponentsAxis: Accumulated Other Comprehensive Income (Loss),credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
57,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Noncontrolling Interest,,607485000.0,645730000.0,4,False,True,False,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_NoncontrollingInterestMember,Noncontrolling Interest,lyv:StatementEquityAndTemporaryEquityComponentsAxis: Noncontrolling Interest,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
58,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,"Accumulated Gain (Loss), Net, Cash Flow Hedge, Parent",,10329000.0,21518000.0,4,False,True,True,us-gaap:StatementEquityComponentsAxis,us-gaap_AccumulatedGainLossNetCashFlowHedgeParentMember,"Accumulated Gain (Loss), Net, Cash Flow Hedge, Parent","us-gaap:StatementEquityComponentsAxis: Accumulated Gain (Loss), Net, Cash Flow Hedge, Parent",credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
59,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Foreign Currency Items,,-169220000.0,-356630000.0,4,False,True,True,us-gaap:StatementEquityComponentsAxis,us-gaap_AccumulatedTranslationAdjustmentMember,Foreign Currency Items,us-gaap:StatementEquityComponentsAxis: Foreign Currency Items,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
60,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,AOCI Including Portion Attributable to Noncontrolling Interest,,-158891000.0,-335112000.0,4,False,True,True,us-gaap:StatementEquityComponentsAxis,us-gaap_AociIncludingPortionAttributableToNoncontrollingInterestMember,AOCI Including Portion Attributable to Noncontrolling Interest,us-gaap:StatementEquityComponentsAxis: AOCI Including Portion Attributable to Noncontrolling Interest,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
61,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,"Additional Paid-in Capital - Cumulative Effect, Period of Adoption, Adjustment",,,0.0,4,False,True,True,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_AdditionalPaidInCapitalMember,Additional Paid-in Capital,"lyv:StatementEquityAndTemporaryEquityComponentsAxis: Additional Paid-in Capital, srt:CumulativeEffectPeriodOfAdoptionAxis: Cumulative Effect, Period of Adoption, Adjustment",credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
62,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,"Accumulated Deficit - Cumulative Effect, Period of Adoption, Adjustment",,,8869000.0,4,False,True,True,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_RetainedEarningsMember,Accumulated Deficit,"lyv:StatementEquityAndTemporaryEquityComponentsAxis: Accumulated Deficit, srt:CumulativeEffectPeriodOfAdoptionAxis: Cumulative Effect, Period of Adoption, Adjustment",credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
63,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,"Cumulative Effect, Period of Adoption, Adjustment",,,8869000.0,4,False,True,True,srt:CumulativeEffectPeriodOfAdoptionAxis,srt_CumulativeEffectPeriodOfAdoptionAdjustmentMember,"Cumulative Effect, Period of Adoption, Adjustment","srt:CumulativeEffectPeriodOfAdoptionAxis: Cumulative Effect, Period of Adoption, Adjustment",credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
64,us-gaap_LiabilitiesAndStockholdersEquity,Total liabilities and equity,LiabilitiesAndEquity,22887819000.0,19638771000.0,3,False,False,False,,,,,credit,1.0,1.0,,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
